record_id,vehicle,community,community_url,post_id,comment_id,parent_id,source_type,author_id,author_pseudonym,date,text_raw,url,scraped_at,_origin,dedup_key,is_duplicate,text_clean,text_normalized,vehicle_v2,vehicle_confidence,vehicle_reason,candidate_adas,matched_keywords,layer_hit,feature_names_hit,generic_adas_only,adas_relevance,relevance_reason,relevance_confidence,feature,subfeature,driving_scenario,evidence_type,sentiment,smoothness,expectation_mismatch,feature_confidence
rec_3aaac83d9065daf7,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_2,post_2_comment_35,post_2,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:31:24Z,raw_data_run_20260918_102948_3d1b49.csv,rec_3aaac83d9065daf7,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_81ddd0efeb2203a8,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_3,post_3_comment_35,post_3,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:31:48Z,raw_data_run_20260918_102948_3d1b49.csv,rec_81ddd0efeb2203a8,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_f3ea83606d629461,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_4,post_4_comment_35,post_4,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:32:12Z,raw_data_run_20260918_102948_3d1b49.csv,rec_f3ea83606d629461,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_6867fd91226ca270,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_5,,,post,,,,"Dimas Pangestu
  ·
13 jam
Punyaku smooth
Balas
Bagikan",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:32:24Z,raw_data_run_20260918_102948_3d1b49.csv,rec_6867fd91226ca270,False,Dimas Pangestu · 13 jam Punyaku smooth Balas Bagikan,dimas pangestu · 13 jam punyaku smooth balas bagikan,Toyota Veloz,medium,community_context,True,smooth,layer_c_indonesian,,False,relevant,functional_keywords_with_context,medium,ACC,ACC:smoothness,not_stated,uncertain,positive,smooth,unclear,medium
rec_d69365f86e3e707e,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_5,post_5_comment_35,post_5,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:32:40Z,raw_data_run_20260918_102948_3d1b49.csv,rec_d69365f86e3e707e,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_21734b8ceef3eb25,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_7,post_7_comment_35,post_7,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:34:36Z,raw_data_run_20260918_102948_3d1b49.csv,rec_21734b8ceef3eb25,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_4df9803fee208196,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_8,post_8_comment_35,post_8,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:35:12Z,raw_data_run_20260918_102948_3d1b49.csv,rec_4df9803fee208196,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_bb73f7fd24c09f3e,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_9,post_9_comment_35,post_9,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:35:37Z,raw_data_run_20260918_102948_3d1b49.csv,rec_bb73f7fd24c09f3e,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_568391e13608b43f,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_10,post_10_comment_35,post_10,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:36:03Z,raw_data_run_20260918_102948_3d1b49.csv,rec_568391e13608b43f,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_781e37d8a3c6629b,Toyota Veloz,VELOZ HYBRID INDONESIA,https://www.facebook.com/groups/1564504984994701,post_11,post_11_comment_35,post_11,comment,,,,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?",https://www.facebook.com/groups/1564504984994701,2026-09-18T03:36:30Z,raw_data_run_20260918_102948_3d1b49.csv,rec_781e37d8a3c6629b,False,"Buat yang pake veloz hybrid tipe Q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus Tss sja ?","buat yang pake veloz hybrid tipe q modelista, kalo lagi jalan trus di depan tiba2 berhenti apakah otomatis ngerem apa hanya khusus tss sja ?",Toyota Veloz,high,explicit_text_alias_strong,True,TSS;otomatis ngerem,"layer_c_indonesian,combined_adas",,False,relevant,functional_keywords_with_context,medium,PDA,PDA:braking,not_stated,question,neutral,not_stated,unclear,medium
rec_7070b4a185511c3f,BYD Sealion 7,BYD Sealion 7 Indonesia,https://www.facebook.com/groups/1739202836885108,2371496240322428,2371496240322428_comment_29,2371496240322428,comment,,,,Adaptive Cruise Control,https://web.facebook.com/groups/1739202836885108/posts/2371496240322428/?comment_id=2371897630282289&__cft__[0]=AZgMaQ_Un8SJexW6KacXKWSlqaBoNvz1VzmRaX8fiaYoYwNZWVrS33eZBpocZfJDwuM4UpwYSvMXocJpoLmAIM3D_3IVnWXbNEkU3QgM-VNCDlsYoVmOajImSpoDcjy3kfWVemna-yUt-UUXi6t63vLyoyKNhHR4fBRYCLXpFTJn35JoT99wjNl4nUYo-m60&__tn__=R-R,2026-09-18T03:49:25Z,raw_data_run_20260918_104118_296cf9.csv,rec_7070b4a185511c3f,False,Adaptive Cruise Control,adaptive cruise control,BYD Sealion 7,medium,community_context,True,Adaptive Cruise;Adaptive Cruise Control;Cruise Control;cruise;cruise control,"layer_a_feature_names,layer_b_functional,layer_c_indonesian",ACC,False,relevant,explicit_feature_name,high,ACC,not_stated,not_stated,uncertain,neutral,not_stated,unclear,high
